WAFER_ID,TESTER_RECIPE,TOUCHDOWN,STX_WAFER_X_UM,STX_WAFER_Y_UM,TEST_START_TIME,TE_LABEL,ITH_MA,RS_FIT_OHMS,SLOPE_EFF_MW_MA,PEAK_WAVE_AT35_NM,KINK1_CURRENT_MA
QCI3Y,LIVTK-DNS,339851,-33623,6901,2025/04/26 23:38:41.000,158B05,17.26034,4.967885,0.187485,824.854919,63
QCHVZ,LIVTK-DNS,340473,30801,-47066,2025/01/09 05:59:33.000,88B04,17.691921,4.963646,0.195123,824.146912,63
QCI3Y,LIVTK-DNS,339827,-55183,6901,2025/04/26 23:38:41.000,156B05,17.818321,4.765744,0.183901,824.310425,63
QCI19,LIVTK-DNS,340533,-1539,-60566,2025/03/28 04:58:52.000,66B04,17.536326,4.97435,0.194328,823.678345,63
QCHW8,LIVTK-DNS,89197,63911,-25016,2025/01/12 21:00:57.000,110A4V,17.62756,4.461504,0.294082,827.028076,63
QCI3Y,LIVTK-DNS,67287,-53129,-30716,2025/04/26 23:38:41.000,100M1P,17.826259,3.484881,-0.000805,0,26
QCI5H,LIVTK-DNS,340522,-12063,-60749,2025/05/12 06:22:10.000,65B02,17.22168,5.314478,0.191916,822.699829,63
QCI19,LIVTK-DNS,309273,771,46684,2025/03/28 04:58:52.000,200M77,17.097822,4.225366,0.252594,828.061951,63
QCI1R,LIVTK-DNS,339599,-22843,33901,2025/05/03 02:38:47.000,197B05,17.075676,5.267587,0.186577,825.507813,63
QCHW8,LIVTK-DNS,340404,-33366,-47132,2025/01/12 21:00:57.000,82B06,17.694369,5.048641,0.121439,822.564392,63
QCI15,LIVTK-DNS,293842,-40809,39634,2025/03/24 04:36:54.000,196K3A,17.976694,3.949447,0.248453,826.766541,63
QCHW8,LIVTK-DNS,49726,36961,-37766,2025/01/12 21:00:57.000,89H5A,17.646246,4.847568,0.194311,825.072632,63
QCI3Y,LIVTK-DNS,340184,9241,-20249,2025/04/26 23:38:41.000,124B01,17.065206,5.244619,0.194538,825.072632,63
QCI3Y,LIVTK-DNS,340463,20277,-47099,2025/04/26 23:38:41.000,87B05,17.176644,4.956063,0.19493,823.983459,63
QCI5H,LIVTK-DNS,339671,41837,33901,2025/05/12 06:22:10.000,203B05,17.00524,5.200843,0.191143,823.134949,63
QCHW8,LIVTK-DNS,115422,-64423,-16199,2025/01/12 21:00:57.000,118N2B,17.277984,4.642656,0.212029,826.539856,63
QCHZF,LIVTK-DNS,59060,-63653,-32999,2025/03/11 03:07:40.000,99M0H,17.82156,4.67899,0.26057,826.214111,63
QCHW8,LIVTK-DNS,335406,40297,58501,2025/01/12 21:00:57.000,222D6B,17.5963,4.626391,0.208801,826.377075,63
QCI3Y,LIVTK-DNS,339900,9754,6868,2025/04/26 23:38:41.000,162B06,17.038612,5.28426,0.129493,824.310425,63
QCI19,LIVTK-DNS,190294,36961,6334,2025/03/28 04:58:52.000,146H7A,17.11085,4.387474,0.273628,827.846252,63
QCI1R,LIVTK-DNS,340126,-44403,-20249,2025/05/03 02:38:47.000,119B02,17.639836,5.371693,0.185205,824.691711,63
QCI3Y,LIVTK-DNS,339608,-12319,33751,2025/04/26 23:38:41.000,198B01,17.023609,5.083618,0.189251,824.092468,63
QCHW8,LIVTK-DNS,97215,60831,-22316,2025/01/12 21:00:57.000,110E6D,17.686622,4.482697,0.298933,827.570129,51
QCI19,LIVTK-DNS,339670,41837,33751,2025/03/28 04:58:52.000,203B02,17.152592,5.23011,0.203843,823.624023,63
QCI2Q,LIVTK-DNS,339956,63141,6751,2025/05/02 11:46:35.000,167B01,17.455699,5.152828,0.202012,823.569702,63
QCHW8,LIVTK-DNS,71224,-59289,-29366,2025/01/12 21:00:57.000,99G2G,8.719345,5.916959,0.000966,827.732605,14
QCI19,LIVTK-DNS,265126,-12576,29068,2025/03/28 04:58:52.000,179C50,8.141835,14.490863,-0.000889,0,17
QCI2Q,LIVTK-DNS,1332,42094,-60032,2025/05/02 11:46:35.000,70B0I,8.340145,-83.12454,0.001566,0,14
QCI2Q,LIVTK-DNS,332756,42607,57601,2025/05/02 11:46:35.000,222A5T,7.576394,8.21119,0.000863,0,14
QCHW8,LIVTK-DNS,176548,-13859,2434,2025/01/12 21:00:57.000,141D54,4.245798,9.294622,0.000931,829.24707,9
QCHWG,LIVTK-DNS,43313,-19763,-40949,2025/02/01 03:45:01.000,84L3K,8.645338,-0.277871,0.000853,828.814758,15
QCHW8,LIVTK-DNS,47712,-6159,-38666,2025/01/12 21:00:57.000,85H4S,8.618986,5.999551,0.000653,829.030945,14
QCHW8,LIVTK-DNS,8118,-39783,-56699,2025/01/12 21:00:57.000,63J2B,6.073378,7.659835,-0.000802,0,14
QCI3Y,LIVTK-DNS,64993,58521,-32216,2025/04/26 23:38:41.000,110H0V,9.341797,10.274041,-0.000139,0,15
QCHW8,LIVTK-DNS,112288,-6929,-17066,2025/01/12 21:00:57.000,123I1S,3.610559,9.37834,0.00004,829.301025,12
QCHW8,LIVTK-DNS,237800,40297,21001,2025/01/12 21:00:57.000,184D0H,7.025855,7.108076,0.000547,828.544434,14
QCHW8,LIVTK-DNS,45520,-37986,-39932,2025/01/12 21:00:57.000,82H46,5.817858,7.503588,0.00096,828.544434,11
QCI3Y,LIVTK-DNS,71222,-59289,-29666,2025/04/26 23:38:41.000,99G2A,8.81227,15.458282,-0.00024,0,15
QCHVZ,LIVTK-DNS,331537,-35419,57184,2025/01/09 05:59:33.000,215D5J,6.019569,10.596897,0.000307,0,11
QCI1R,LIVTK-DNS,65103,63654,-31382,2025/05/03 02:38:47.000,110B1F,6.66235,5.976621,0.000345,0,19
QCHVZ,LIVTK-DNS,2268,-16169,-59366,2025/01/09 05:59:33.000,65G0S,41.296332,4.94135,-0.000047,828.328064,47
QCI5H,LIVTK-DNS,114991,-37473,-16649,2025/05/12 06:22:10.000,120G22,51.951652,6.209612,0.000079,0,57
QCI2Q,LIVTK-DNS,1296,39784,-60032,2025/05/02 11:46:35.000,70E0I,40.854594,2.313569,0.000326,0,46
QCI5H,LIVTK-DNS,10060,1284,-55832,2025/05/12 06:22:10.000,67M2U,44.098139,6.47775,-0.00006,0,49
QCI3Y,LIVTK-DNS,87069,-56979,-25616,2025/04/26 23:38:41.000,99D4J,40.197325,5.678422,0.136775,0,47
QCI2Q,LIVTK-DNS,338175,40554,60418,2025/05/02 11:46:35.000,222D7F,35.463919,4.789559,0.000462,0,63
QCHW8,LIVTK-DNS,176720,-2823,2401,2025/01/12 21:00:57.000,142D55,33.123486,5.466438,0.000942,828.598511,41
QCI2Q,LIVTK-DNS,844,10781,-59966,2025/05/02 11:46:35.000,68N0G,30.48497,6.473756,0.049097,0,63
QCI15,LIVTK-DNS,74788,-40296,-28832,2025/03/24 04:36:54.000,101K2U,33.163842,4.377337,0.000364,0,63
QCHW8,LIVTK-DNS,134132,23357,-10499,2025/01/12 21:00:57.000,126L5H,33.026889,5.373824,0.000653,829.463074,40
QCI5H,LIVTK-DNS,338086,39784,59668,2025/05/12 06:22:10.000,222E70,31.460987,4.169896,0.233974,0,63
QCI3Y,LIVTK-DNS,95411,-54926,-22382,2025/04/26 23:38:41.000,99B6F,34.830013,-2.256319,-0.000758,0,63
QCI2Q,LIVTK-DNS,337991,33624,59818,2025/05/02 11:46:35.000,222M73,30.313026,4.856359,0.000887,0,35
QCHW8,LIVTK-DNS,201680,46457,9901,2025/01/12 21:00:57.000,166J1T,35.226231,5.415622,0.000096,828.328064,63
QCI3Y,LIVTK-DNS,99341,-61343,-21449,2025/04/26 23:38:41.000,99J6W,30.135902,26.03266,0.669177,827.190674,36
QCI2Q,LIVTK-DNS,238183,64167,21451,2025/05/02 11:46:35.000,186A0Q,30.229723,3.68476,0.212919,0,63
QCHW8,LIVTK-DNS,60689,41067,-33449,2025/01/12 21:00:57.000,108C08,33.973466,1.383332,-0.00018,0,63
QCI2Q,LIVTK-DNS,332636,34907,57601,2025/05/02 11:46:35.000,222K5T,35.003468,-0.967641,0.000532,0,63
QCI5H,LIVTK-DNS,159744,-61856,-2432,2025/05/12 06:22:10.000,137K2I,30.430224,5.689184,0.008462,0,63
QCI1R,LIVTK-DNS,340379,52617,-33599,2025/05/03 02:38:47.000,109B05,18.698411,5.053369,0.208726,823.819946,63
QCHW8,LIVTK-DNS,339680,-55439,20251,2025/01/12 21:00:57.000,175B01,18.271058,4.945009,0.178392,824.310425,63
QCI3Y,LIVTK-DNS,340378,52617,-33749,2025/04/26 23:38:41.000,109B02,18.512674,5.030447,0.217238,822.673706,63
QCHZF,LIVTK-DNS,1684,21304,-59432,2025/03/11 03:07:40.000,68A0U,17.049493,4.718009,0.27487,827.840881,63
QCI19,LIVTK-DNS,339706,-33623,20251,2025/03/28 04:58:52.000,177B02,17.046994,5.376676,0.197094,824.655334,63
QCI19,LIVTK-DNS,189709,54671,5584,2025/03/28 04:58:52.000,148M6V,17.350491,4.876519,0.272415,827.684448,63
QCI2Q,LIVTK-DNS,324751,39527,54451,2025/05/02 11:46:35.000,222E42,17.166544,5.184365,0.306748,826.388123,63
QCHW8,LIVTK-DNS,324569,34394,53818,2025/01/12 21:00:57.000,222L3R,17.361026,4.276093,0.28199,827.244934,63
QCI19,LIVTK-DNS,339680,-55439,20251,2025/03/28 04:58:52.000,175B01,17.769613,5.170141,0.18258,824.329834,63
QCI3Y,LIVTK-DNS,339600,-22586,33868,2025/04/26 23:38:41.000,197B06,17.065796,4.907787,0.12744,822.892151,63
QCI5H,LIVTK-DNS,340126,-44403,-20249,2025/05/12 06:22:10.000,119B02,17.13534,5.410124,0.192233,823.841309,63
QCI5H,LIVTK-DNS,340104,63654,-6632,2025/05/12 06:22:10.000,148B06,17.965894,5.102185,0.140655,822.808655,63
QCI15,LIVTK-DNS,323652,-26436,53668,2025/03/24 04:36:54.000,216G3O,17.637941,4.281524,0.26102,826.60437,63
QCI3Y,LIVTK-DNS,339563,31057,47401,2025/04/26 23:38:41.000,221B05,17.55311,4.780249,0.20018,823.76532,63
QCI2Q,LIVTK-DNS,278443,63397,33451,2025/05/02 11:46:35.000,186B7E,17.417698,4.343644,0.292342,826.117737,63
QCHWG,LIVTK-DNS,59754,-18993,-33299,2025/02/01 03:45:01.000,103K0B,17.024544,3.899631,0.23861,828.814758,63
QCI3Y,LIVTK-DNS,340424,-12319,-47249,2025/04/26 23:38:41.000,84B01,17.175449,5.015451,0.184804,824.419312,63
QCI1R,LIVTK-DNS,339888,-1026,6868,2025/05/03 02:38:47.000,161B06,17.011351,5.593262,0.134013,823.492676,63
QCHVZ,LIVTK-DNS,339503,-22843,47401,2025/01/09 05:59:33.000,216B05,17.166277,5.061147,0.181915,825.127075,63
QCI1R,LIVTK-DNS,339696,-44146,20368,2025/05/03 02:38:47.000,176B06,17.571385,5.278724,0.128415,821.963013,63
QCI3Y,LIVTK-DNS,340149,-23099,-20066,2025/04/26 23:38:41.000,121B04,17.065882,5.042787,0.191192,824.909424,63
QCI3Y,LIVTK-DNS,339500,-23099,47251,2025/04/26 23:38:41.000,216B01,17.572137,4.928435,0.187236,824.146912,63
QCI3Y,LIVTK-DNS,89175,62371,-24716,2025/04/26 23:38:41.000,110C51,17.352063,4.333332,0.306053,826.214111,63
QCHW8,LIVTK-DNS,339947,52617,6901,2025/01/12 21:00:57.000,166B05,17.148587,5.10444,0.202048,825.072632,63
QCI3Y,LIVTK-DNS,340041,9241,-6566,2025/04/26 23:38:41.000,143B04,17.069177,5.107251,0.19428,825.344604,63
QCHW8,LIVTK-DNS,339840,-44146,6868,2025/01/12 21:00:57.000,157B06,17.089475,5.227349,0.123424,822.127075,63
QCI3Y,LIVTK-DNS,339995,-33623,-6599,2025/04/26 23:38:41.000,139B05,17.086804,4.932009,0.188507,824.909424,63
QCHWG,LIVTK-DNS,256308,-63909,26434,2025/02/01 03:45:01.000,175M3G,17.01305,4.666469,0.282218,827.949219,63
QCI3Y,LIVTK-DNS,340535,-1283,-60599,2025/04/26 23:38:41.000,66B05,17.970087,4.808271,0.194984,823.110657,63
QCI2Q,LIVTK-DNS,169796,58777,601,2025/05/02 11:46:35.000,148H45,17.057189,4.955188,0.205781,823.786987,63
QCI1R,LIVTK-DNS,339864,-22586,6868,2025/05/03 02:38:47.000,159B06,17.0034,5.467497,0.133966,823.438049,63
QCI19,LIVTK-DNS,340271,-44403,-33599,2025/03/28 04:58:52.000,100B05,17.300514,5.051781,0.185709,823.678345,63
QCI1R,LIVTK-DNS,340449,9241,-47066,2025/05/03 02:38:47.000,86B04,17.28501,5.210463,0.18841,825.01825,63
QCHW8,LIVTK-DNS,109366,64424,-18632,2025/01/12 21:00:57.000,129A10,17.694854,4.262974,0.121923,829.193054,63
QCI3Y,LIVTK-DNS,340295,-22843,-33599,2025/04/26 23:38:41.000,102B05,17.037535,4.928753,0.19006,824.800537,63
QCI3Y,LIVTK-DNS,71254,-57236,-29732,2025/04/26 23:38:41.000,99E2C,7.867798,6.15471,0.000672,0,16
QCHW8,LIVTK-DNS,251275,257,25051,2025/01/12 21:00:57.000,181N2Q,9.900989,5.79229,-0.000433,829.625,16
QCHW8,LIVTK-DNS,310640,257,48001,2025/01/12 21:00:57.000,219N0H,8.264452,6.43776,0.000322,828.057434,15
QCHW8,LIVTK-DNS,76812,40554,-28232,2025/01/12 21:00:57.000,108D36,5.493478,8.34335,0.000278,828.382202,10
QCHVZ,LIVTK-DNS,6781,39014,-57482,2025/01/09 05:59:33.000,70F1X,7.214904,6.348426,0.000307,0,12
QCI3Y,LIVTK-DNS,73178,62884,-29132,2025/04/26 23:38:41.000,110C2O,6.902908,9.784307,-0.000069,0,13
QCI3Y,LIVTK-DNS,95044,-51076,-22832,2025/04/26 23:38:41.000,100K66,6.016084,13.416626,0.000838,0,12
QCHW8,LIVTK-DNS,104636,19507,-19499,2025/01/12 21:00:57.000,125C0H,9.696521,5.956938,0.000189,829.409058,15
QCHW8,LIVTK-DNS,278224,51591,33034,2025/01/12 21:00:57.000,185C74,9.9323,5.848609,0.000849,827.949219,19
QCHVZ,LIVTK-DNS,162352,23614,-1832,2025/01/09 05:59:33.000,145L2U,4.319493,9.209657,0.000629,829.678955,11
QCHW8,LIVTK-DNS,84152,-1283,-25799,2025/01/12 21:00:57.000,104B4H,7.876117,6.620665,0.000771,829.355042,17
QCHW8,LIVTK-DNS,19951,32597,-51749,2025/01/12 21:00:57.000,70N52,5.473392,8.320275,0.001332,828.057434,11
QCHW8,LIVTK-DNS,149344,46971,-5966,2025/01/12 21:00:57.000,147I0G,7.494166,7.105207,0.000831,828.111572,13
QCI3Y,LIVTK-DNS,91384,-54669,-23366,2025/04/26 23:38:41.000,99A5S,7.413403,27.134262,0,827.624268,19
QCHW8,LIVTK-DNS,159792,-58776,-2432,2025/01/12 21:00:57.000,137G2I,40.447572,5.027119,0.000704,828.057434,45
QCHW8,LIVTK-DNS,333888,-29259,58234,2025/01/12 21:00:57.000,216J64,30.370485,5.213847,0.000238,827.949219,37
QCHW8,LIVTK-DNS,301872,-41579,43534,2025/01/12 21:00:57.000,196L5G,32.703712,5.063713,0.000549,828.16571,38
QCHVZ,LIVTK-DNS,74524,-23356,-28832,2025/01/09 05:59:33.000,102C2U,34.974358,5.352925,0.000587,828.544434,63
QCI2Q,LIVTK-DNS,121442,63141,-14966,2025/05/02 11:46:35.000,129B2Y,31.374725,3.654719,0.200071,0,36
QCHW8,LIVTK-DNS,29480,-40553,-47399,2025/01/12 21:00:57.000,63K7H,31.285594,5.165501,0.00004,827.028076,63
QCI5H,LIVTK-DNS,259718,-28746,27268,2025/05/12 06:22:10.000,178J40,36.53206,5.216585,-0.000006,0,43
QCI5H,LIVTK-DNS,162338,24384,-2132,2025/05/12 06:22:10.000,145K2O,36.584895,3.864803,0.000331,0,42
QCI2Q,LIVTK-DNS,335244,29774,58768,2025/05/02 11:46:35.000,221D6I,30.37067,5.183206,0.000034,0,35
QCI2Q,LIVTK-DNS,125408,63397,-13499,2025/05/02 11:46:35.000,129B3T,33.51689,2.642368,-0.000106,0,63
QCHWG,LIVTK-DNS,173769,62371,1384,2025/02/01 03:45:01.000,148C4J,10.601336,5.351469,0.164672,830.434143,63
QCI3Y,LIVTK-DNS,340548,9754,-60632,2025/04/26 23:38:41.000,67B06,18.431274,4.765522,0.139702,822.181824,63
QCI19,LIVTK-DNS,190378,31571,6334,2025/03/28 04:58:52.000,145A7A,18.313469,4.359603,0.266621,828.061951,63
QCI19,LIVTK-DNS,340511,-22843,-60599,2025/03/28 04:58:52.000,64B05,18.578992,4.871206,0.184974,824.058472,63
QCHZF,LIVTK-DNS,177242,30801,2134,2025/03/11 03:07:40.000,145B4Y,18.934737,5.422563,0.007197,0,29
QCI1R,LIVTK-DNS,340272,-44146,-33632,2025/05/03 02:38:47.000,100B06,18.127482,5.198676,0.125541,822.181824,63
QCI19,LIVTK-DNS,340260,-54926,-33632,2025/03/28 04:58:52.000,99B06,18.627179,5.019304,0.12721,822.863037,63
QCI1R,LIVTK-DNS,340104,63654,-6632,2025/05/03 02:38:47.000,148B06,18.607751,4.90024,0.145005,821.634705,63
QCI5H,LIVTK-DNS,340115,-55183,-20099,2025/05/12 06:22:10.000,118B05,17.182893,5.096828,0.185646,822.754272,63
QCHW8,LIVTK-DNS,339838,-44403,6751,2025/01/12 21:00:57.000,157B02,17.27549,5.259343,0.180965,825.127075,63
QCI19,LIVTK-DNS,190433,27977,6151,2025/03/28 04:58:52.000,145F78,17.215788,4.731559,0.271115,828.223755,63
QCI3Y,LIVTK-DNS,3942,37217,-59099,2025/04/26 23:38:41.000,70H0Z,17.18236,15.224103,0.000159,829.193054,23
QCI3Y,LIVTK-DNS,339801,52361,20434,2025/04/26 23:38:41.000,185B04,17.633091,4.791279,0.210113,823.76532,63
QCI2Q,LIVTK-DNS,339957,63141,6934,2025/05/02 11:46:35.000,167B04,17.421528,5.044776,0.203244,823.134949,63
QCI3Y,LIVTK-DNS,340128,-44146,-20132,2025/04/26 23:38:41.000,119B06,17.179771,4.938488,0.1249,822.837524,63
QCI19,LIVTK-DNS,340416,-22586,-47132,2025/03/28 04:58:52.000,83B06,17.235896,5.238428,0.132045,823.352417,63
QCHWG,LIVTK-DNS,108347,-1026,-18482,2025/02/01 03:45:01.000,123B13,17.118228,4.889599,0.266278,829.301025,63
QCHZF,LIVTK-DNS,340485,41581,-47066,2025/03/11 03:07:40.000,89B04,17.176128,4.941359,0.195713,824.746155,63
QCI3Y,LIVTK-DNS,339588,-33366,33868,2025/04/26 23:38:41.000,196B06,17.039805,4.915057,0.124651,822.78302,63
QCHW8,LIVTK-DNS,339959,63397,6901,2025/01/12 21:00:57.000,167B05,17.985781,4.727413,0.196359,823.874451,63
QCI3Y,LIVTK-DNS,339705,-33879,20434,2025/04/26 23:38:41.000,177B04,17.323992,4.857625,0.18785,824.909424,63
QCI3Y,LIVTK-DNS,340042,9497,-6749,2025/04/26 23:38:41.000,143B02,17.119878,5.233957,0.196927,825.344604,63
QCHW8,LIVTK-DNS,117436,64424,-15332,2025/01/12 21:00:57.000,129A2U,17.066934,4.349696,0.126539,829.030945,63
QCI3Y,LIVTK-DNS,339984,-44146,-6632,2025/04/26 23:38:41.000,138B06,17.136589,4.975501,0.124748,822.892151,63
QCI1R,LIVTK-DNS,340089,52361,-6566,2025/05/03 02:38:47.000,147B04,17.391271,5.200657,0.201374,825.072632,63
QCI2Q,LIVTK-DNS,193066,11294,7168,2025/05/02 11:46:35.000,163N0C,17.338011,5.624438,0.31318,829.784851,63
QCHVZ,LIVTK-DNS,339825,-55439,6934,2025/01/09 05:59:33.000,156B04,17.859233,5.072146,0.173404,824.582764,63
QCHW8,LIVTK-DNS,228110,-63909,18034,2025/01/12 21:00:57.000,156M6A,17.970207,4.367524,0.279799,827.299194,63
QCHVZ,LIVTK-DNS,339828,-54926,6868,2025/01/09 05:59:33.000,156B06,17.618886,5.110054,0.118002,822.946838,63
QCI3Y,LIVTK-DNS,340092,52874,-6632,2025/04/26 23:38:41.000,147B06,17.212076,5.028253,0.137828,821.744202,63
QCHVZ,LIVTK-DNS,71414,-46969,-29666,2025/01/09 05:59:33.000,100E2A,17.287352,4.545351,0.270548,828.003296,63
QCI1R,LIVTK-DNS,340056,20534,-6632,2025/05/03 02:38:47.000,144B06,17.101032,5.499829,0.135692,822.509766,63
QCI5H,LIVTK-DNS,340534,-1283,-60749,2025/05/12 06:22:10.000,66B02,17.149202,5.342154,0.19461,822.699829,63
QCI2Q,LIVTK-DNS,338327,30801,60484,2025/05/02 11:46:35.000,221B7D,17.185841,4.94926,0.052221,0,50
QCI19,LIVTK-DNS,340113,-55439,-20066,2025/03/28 04:58:52.000,118B04,17.899461,5.021228,0.185516,824.329834,63
QCI3Y,LIVTK-DNS,6740,41837,-56999,2025/04/26 23:38:41.000,70B25,17.439961,4.968149,0.304841,825.562134,63
QCI5H,LIVTK-DNS,339504,-22586,47368,2025/05/12 06:22:10.000,216B06,17.016955,5.363394,0.127628,823.786987,63
QCHVZ,LIVTK-DNS,340092,52874,-6632,2025/01/09 05:59:33.000,147B06,17.043403,5.185315,0.134169,822.61908,63
QCI1R,LIVTK-DNS,338082,39527,59701,2025/05/03 02:38:47.000,222E6Z,17.858569,5.010284,0.242935,825.616455,63
QCHVZ,LIVTK-DNS,339669,41581,33934,2025/01/09 05:59:33.000,203B04,17.235082,5.1967,0.19201,824.909424,63
QCI1R,LIVTK-DNS,340304,-12319,-33749,2025/05/03 02:38:47.000,103B01,17.079751,5.490335,0.188027,825.181519,63
QCI2Q,LIVTK-DNS,173692,61601,1234,2025/05/02 11:46:35.000,148D4G,17.710351,3.656875,0.000128,0,24
QCHVZ,LIVTK-DNS,339695,-44403,20401,2025/01/09 05:59:33.000,176B05,17.14546,5.06064,0.174792,824.963867,63
QCHVZ,LIVTK-DNS,340088,52361,-6749,2025/01/09 05:59:33.000,147B01,17.272146,5.262168,0.19468,825.01825,63
QCI3Y,LIVTK-DNS,6722,42864,-57332,2025/04/26 23:38:41.000,70A20,17.111314,4.661965,0.333276,825.127075,63
QCI3Y,LIVTK-DNS,339945,52361,6934,2025/04/26 23:38:41.000,166B04,17.443612,5.1298,0.208071,823.983459,63
QCHVZ,LIVTK-DNS,331381,-41066,56518,2025/01/09 05:59:33.000,215L59,17.211831,4.679062,0.259321,826.159851,63
QCI15,LIVTK-DNS,293838,-40553,39601,2025/03/24 04:36:54.000,196K3B,17.4272,3.833146,0.240996,826.712524,63
QCI3Y,LIVTK-DNS,339514,-12063,47251,2025/04/26 23:38:41.000,217B02,17.377312,4.947306,0.195013,824.310425,63
QCI3Y,LIVTK-DNS,95280,-63396,-22232,2025/04/26 23:38:41.000,99M6I,17.266332,4.692807,0.312762,826.485596,63
QCHVZ,LIVTK-DNS,332832,38501,58234,2025/01/09 05:59:33.000,222F64,17.387872,4.596337,0.266107,827.190674,63
QCI3Y,LIVTK-DNS,221781,47484,15418,2025/04/26 23:38:41.000,166I4X,17.643799,4.552988,0.287163,827.407593,63
